"TIME_PERIOD","GEO","AGE","SEX","OBS_STATUS","OBS_VALUE"
"2024-W02","CH","Y65T69","T","P","87"
"2024-W02","CH","Y65T69","M","P","57"
"2024-W02","CH","Y65T69","F","P","30"
"2024-W02","CH","Y70T74","T","P","104"
"2024-W02","CH","Y70T74","M","P","58"
"2024-W02","CH","Y70T74","F","P","46"
"2024-W02","CH","Y75T79","T","P","172"
"2024-W02","CH","Y75T79","M","P","92"
"2024-W02","CH","Y75T79","F","P","80"
"2024-W02","CH","Y80T84","T","P","264"
"2024-W02","CH","Y80T84","M","P","156"
"2024-W02","CH","Y80T84","F","P","108"
"2024-W02","CH","Y85T89","T","P","282"
"2024-W02","CH","Y85T89","M","P","131"
"2024-W02","CH","Y85T89","F","P","151"
"2024-W02","CH","Y_GE90","T","P","481"
"2024-W02","CH","Y_GE90","M","P","163"
"2024-W02","CH","Y_GE90","F","P","318"
"2024-W02","CH01","_T","T","P","285"
"2024-W02","CH01","_T","M","P","130"
"2024-W02","CH01","_T","F","P","155"
"2024-W02","CH01","Y0T4","T","P","1"
"2024-W02","CH01","Y0T4","M","P","0"
"2024-W02","CH01","Y0T4","F","P","1"
"2024-W02","CH01","Y5T9","T","P","0"
"2024-W02","CH01","Y5T9","M","P","0"
"2024-W02","CH01","Y5T9","F","P","0"
"2024-W02","CH01","Y10T14","T","P","1"
"2024-W02","CH01","Y10T14","M","P","0"
"2024-W02","CH01","Y10T14","F","P","1"
"2024-W02","CH01","Y15T19","T","P","0"
"2024-W02","CH01","Y15T19","M","P","0"
"2024-W02","CH01","Y15T19","F","P","0"
"2024-W02","CH01","Y20T24","T","P","0"
"2024-W02","CH01","Y20T24","M","P","0"
"2024-W02","CH01","Y20T24","F","P","0"
"2024-W02","CH01","Y25T29","T","P","0"
"2024-W02","CH01","Y25T29","M","P","0"
"2024-W02","CH01","Y25T29","F","P","0"
"2024-W02","CH01","Y30T34","T","P","3"
"2024-W02","CH01","Y30T34","M","P","2"
"2024-W02","CH01","Y30T34","F","P","1"
"2024-W02","CH01","Y35T39","T","P","2"
"2024-W02","CH01","Y35T39","M","P","1"
"2024-W02","CH01","Y35T39","F","P","1"
"2024-W02","CH01","Y40T44","T","P","1"
"2024-W02","CH01","Y40T44","M","P","1"
"2024-W02","CH01","Y40T44","F","P","0"
"2024-W02","CH01","Y45T49","T","P","5"
"2024-W02","CH01","Y45T49","M","P","2"
"2024-W02","CH01","Y45T49","F","P","3"
"2024-W02","CH01","Y50T54","T","P","4"
"2024-W02","CH01","Y50T54","M","P","4"
"2024-W02","CH01","Y50T54","F","P","0"
"2024-W02","CH01","Y55T59","T","P","4"
"2024-W02","CH01","Y55T59","M","P","3"
"2024-W02","CH01","Y55T59","F","P","1"
"2024-W02","CH01","Y60T64","T","P","8"
"2024-W02","CH01","Y60T64","M","P","8"
"2024-W02","CH01","Y60T64","F","P","0"
"2024-W02","CH01","Y65T69","T","P","10"
